"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15"
"1","DUTP1","TAF8","RPL23AP88","SNORD73B","MOSMO","ZNF837","KCTD17","OPALIN","NMD3","ADH7","LINC01355","YTHDC1","TREM1","ABRAXAS2","SYNE3"
"2","DOCK5","GCNT1P1","RPL23AP84","RPS3AP47",NA,NA,"MYPN","MVB12B","CTDSPL2","APOBEC3D","FASTKD2",NA,"AQP9",NA,"IGSF3"
"3","THORLNC","ADGRA1","RPL23AP87","RPS18",NA,NA,"RNF170",NA,"ZNF644",NA,NA,NA,"BCL2A1",NA,"PRR30"
"4",NA,"MIOX","RPL23AP7","ZC3H10",NA,NA,"ARID1A",NA,"TMX1",NA,NA,NA,NA,NA,"OTUD7B"
"5",NA,"IGSF3","RPL23AP82","RPL41P2",NA,NA,"FYCO1",NA,"PCNP",NA,NA,NA,NA,NA,"PABPC1L2B"
"6",NA,"LINC02727","RPL23AP60","RPL41P1",NA,NA,"TAS2R38",NA,NA,NA,NA,NA,NA,NA,"HAPLN4"
"7",NA,"ALOX12P2","RPL23AP45","RPL41P5",NA,NA,"ERLNC1",NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"GSX2","RPL23AP25","RPL41",NA,NA,"OPN4",NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"PRR30","RPL23AP4",NA,NA,NA,"STPG3",NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"LINC00671",NA,NA,NA,NA,"HCCAT5",NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"LINC01339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"CALML3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,"ARSK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"SPEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"KIR3DL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"THORLNC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"PLEKHG2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,"SLC25A48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
